"ntree" "mtry" "region" "year" "accuracy"
"800" "40" "1" "2015" "0.9377"
"100" "5" "1" "2016" "0.9394"
"200" "5" "1" "2016" "0.9382"
"400" "5" "1" "2016" "0.9366"
"800" "5" "1" "2016" "0.9438"
"100" "10" "1" "2016" "0.9391"
"200" "10" "1" "2016" "0.9359"
"400" "10" "1" "2016" "0.9406"
"800" "10" "1" "2016" "0.9331"
"100" "20" "1" "2016" "0.9371"
"200" "20" "1" "2016" "0.9444"
"400" "20" "1" "2016" "0.9451"
"800" "20" "1" "2016" "0.9438"
"100" "40" "1" "2016" "0.9406"
"200" "40" "1" "2016" "0.9366"
"400" "40" "1" "2016" "0.9484"
"800" "40" "1" "2016" "0.9489"
"100" "5" "1" "2017" "0.9353"
"200" "5" "1" "2017" "0.932"
"400" "5" "1" "2017" "0.9361"
"800" "5" "1" "2017" "0.9333"
"100" "10" "1" "2017" "0.9339"
"200" "10" "1" "2017" "0.9367"
"400" "10" "1" "2017" "0.9431"
"800" "10" "1" "2017" "0.9412"
"100" "20" "1" "2017" "0.9415"
"200" "20" "1" "2017" "0.9416"
"400" "20" "1" "2017" "0.9444"
"800" "20" "1" "2017" "0.9424"
"100" "40" "1" "2017" "0.9412"
"200" "40" "1" "2017" "0.9364"
"400" "40" "1" "2017" "0.939"
"800" "40" "1" "2017" "0.9311"
"100" "5" "1" "2018" "0.9325"
"200" "5" "1" "2018" "0.9369"
"400" "5" "1" "2018" "0.9298"
"800" "5" "1" "2018" "0.9366"
"100" "10" "1" "2018" "0.934"
"200" "10" "1" "2018" "0.9395"
"400" "10" "1" "2018" "0.9343"
"800" "10" "1" "2018" "0.9386"
"100" "20" "1" "2018" "0.9463"
"200" "20" "1" "2018" "0.9456"
"400" "20" "1" "2018" "0.9441"
"800" "20" "1" "2018" "0.9444"
"100" "40" "1" "2018" "0.9424"
"200" "40" "1" "2018" "0.948"
"400" "40" "1" "2018" "0.936"
"800" "40" "1" "2018" "0.9472"
"100" "5" "1" "2019" "0.9241"
"200" "5" "1" "2019" "0.9386"
"400" "5" "1" "2019" "0.9383"
"800" "5" "1" "2019" "0.9381"
"100" "10" "1" "2019" "0.9435"
"200" "10" "1" "2019" "0.9468"
"400" "10" "1" "2019" "0.9443"
