"","Prediction","Reference","Freq","region","year","file"
"336","12","4",20,11,1985,"mapbiomas_collection70_integration_v2"
"337","21","4",16,11,1985,"mapbiomas_collection70_integration_v2"
"338","25","4",0,11,1985,"mapbiomas_collection70_integration_v2"
"339","33","4",1,11,1985,"mapbiomas_collection70_integration_v2"
"340","3","12",0,11,1985,"mapbiomas_collection70_integration_v2"
"341","4","12",34,11,1985,"mapbiomas_collection70_integration_v2"
"342","12","12",42,11,1985,"mapbiomas_collection70_integration_v2"
"343","21","12",11,11,1985,"mapbiomas_collection70_integration_v2"
"344","25","12",0,11,1985,"mapbiomas_collection70_integration_v2"
"345","33","12",0,11,1985,"mapbiomas_collection70_integration_v2"
"346","3","21",6,11,1985,"mapbiomas_collection70_integration_v2"
"347","4","21",25,11,1985,"mapbiomas_collection70_integration_v2"
"348","12","21",12,11,1985,"mapbiomas_collection70_integration_v2"
"349","21","21",52,11,1985,"mapbiomas_collection70_integration_v2"
"350","25","21",0,11,1985,"mapbiomas_collection70_integration_v2"
"351","33","21",0,11,1985,"mapbiomas_collection70_integration_v2"
"352","3","25",0,11,1985,"mapbiomas_collection70_integration_v2"
"353","4","25",0,11,1985,"mapbiomas_collection70_integration_v2"
"354","12","25",0,11,1985,"mapbiomas_collection70_integration_v2"
"355","21","25",2,11,1985,"mapbiomas_collection70_integration_v2"
"356","25","25",0,11,1985,"mapbiomas_collection70_integration_v2"
"357","33","25",0,11,1985,"mapbiomas_collection70_integration_v2"
"358","3","33",0,11,1985,"mapbiomas_collection70_integration_v2"
"359","4","33",0,11,1985,"mapbiomas_collection70_integration_v2"
"360","12","33",0,11,1985,"mapbiomas_collection70_integration_v2"
"361","21","33",0,11,1985,"mapbiomas_collection70_integration_v2"
"362","25","33",0,11,1985,"mapbiomas_collection70_integration_v2"
"363","33","33",1,11,1985,"mapbiomas_collection70_integration_v2"
"364","3","3",68,12,1985,"mapbiomas_collection70_integration_v2"
"365","4","3",12,12,1985,"mapbiomas_collection70_integration_v2"
"366","12","3",1,12,1985,"mapbiomas_collection70_integration_v2"
"367","21","3",0,12,1985,"mapbiomas_collection70_integration_v2"
"368","25","3",0,12,1985,"mapbiomas_collection70_integration_v2"
"369","33","3",0,12,1985,"mapbiomas_collection70_integration_v2"
"370","3","4",107,12,1985,"mapbiomas_collection70_integration_v2"
