"","value","variable","region","year","file"
"Class: 2113",0.832839408607462,"Class: 21",14,1985,"mapbiomas_collection70_integration_v2"
"Class: 2512",0.5,"Class: 25",14,1985,"mapbiomas_collection70_integration_v2"
"Class: 3311",1,"Class: 33",14,1985,"mapbiomas_collection70_integration_v2"
"Accuracy14",0.641697877652934,"Accuracy",15,1985,"mapbiomas_collection70_integration_v2"
"Kappa14",0.495621820032779,"Kappa",15,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower14",0.607393595047459,"AccuracyLower",15,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper14",0.67495476489093,"AccuracyUpper",15,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull14",0.415730337078652,"AccuracyNull",15,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue14",5.44807417150929e-38,"AccuracyPValue",15,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue14",NA,"McnemarPValue",15,1985,"mapbiomas_collection70_integration_v2"
"Class: 315",0.831084489281211,"Class: 3",15,1985,"mapbiomas_collection70_integration_v2"
"Class: 414",0.679223602484472,"Class: 4",15,1985,"mapbiomas_collection70_integration_v2"
"Class: 1214",0.737849121796718,"Class: 12",15,1985,"mapbiomas_collection70_integration_v2"
"Class: 2114",0.812139062139062,"Class: 21",15,1985,"mapbiomas_collection70_integration_v2"
"Class: 2513",0.5,"Class: 25",15,1985,"mapbiomas_collection70_integration_v2"
"Class: 3312",0.99812030075188,"Class: 33",15,1985,"mapbiomas_collection70_integration_v2"
"Accuracy15",0.614,"Accuracy",16,1985,"mapbiomas_collection70_integration_v2"
"Kappa15",0.454962383932404,"Kappa",16,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower15",0.569755906760744,"AccuracyLower",16,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper15",0.65688773171959,"AccuracyUpper",16,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull15",0.536,"AccuracyNull",16,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue15",0.000259391035758636,"AccuracyPValue",16,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue15",NA,"McnemarPValue",16,1985,"mapbiomas_collection70_integration_v2"
"Class: 316",0.888351694803308,"Class: 3",16,1985,"mapbiomas_collection70_integration_v2"
"Class: 415",0.705288214101904,"Class: 4",16,1985,"mapbiomas_collection70_integration_v2"
"Class: 1215",0.751152073732719,"Class: 12",16,1985,"mapbiomas_collection70_integration_v2"
"Class: 2115",0.721146926722747,"Class: 21",16,1985,"mapbiomas_collection70_integration_v2"
"Class: 2514",0.5,"Class: 25",16,1985,"mapbiomas_collection70_integration_v2"
"Class: 3313",0.75,"Class: 33",16,1985,"mapbiomas_collection70_integration_v2"
"Accuracy16",0.625,"Accuracy",17,1985,"mapbiomas_collection70_integration_v2"
"Kappa16",0.486396682001287,"Kappa",17,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower16",0.582483423225948,"AccuracyLower",17,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper16",0.66613012758587,"AccuracyUpper",17,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull16",0.458955223880597,"AccuracyNull",17,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue16",8.47296055581368e-15,"AccuracyPValue",17,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue16",NA,"McnemarPValue",17,1985,"mapbiomas_collection70_integration_v2"
"Class: 317",0.849553804009882,"Class: 3",17,1985,"mapbiomas_collection70_integration_v2"
"Class: 416",0.654667788057191,"Class: 4",17,1985,"mapbiomas_collection70_integration_v2"
"Class: 1216",0.826021080368907,"Class: 12",17,1985,"mapbiomas_collection70_integration_v2"
"Class: 2116",0.814405060269722,"Class: 21",17,1985,"mapbiomas_collection70_integration_v2"
"Class: 2515",0.5,"Class: 25",17,1985,"mapbiomas_collection70_integration_v2"
"Class: 3314",0.833333333333333,"Class: 33",17,1985,"mapbiomas_collection70_integration_v2"
"Accuracy17",0.773142112125163,"Accuracy",18,1985,"mapbiomas_collection70_integration_v2"
"Kappa17",0.640522497309804,"Kappa",18,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower17",0.751346515162711,"AccuracyLower",18,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper17",0.793886897503817,"AccuracyUpper",18,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull17",0.502607561929596,"AccuracyNull",18,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue17",2.33986475214259e-105,"AccuracyPValue",18,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue17",NA,"McnemarPValue",18,1985,"mapbiomas_collection70_integration_v2"
"Class: 318",0.896159606169245,"Class: 3",18,1985,"mapbiomas_collection70_integration_v2"
"Class: 417",0.763089851325145,"Class: 4",18,1985,"mapbiomas_collection70_integration_v2"
"Class: 1217",0.739453771161088,"Class: 12",18,1985,"mapbiomas_collection70_integration_v2"
"Class: 2117",0.783738689372225,"Class: 21",18,1985,"mapbiomas_collection70_integration_v2"
"Class: 2516",0.5,"Class: 25",18,1985,"mapbiomas_collection70_integration_v2"
"Class: 3315",0.999673842139596,"Class: 33",18,1985,"mapbiomas_collection70_integration_v2"
"Accuracy18",0.708860759493671,"Accuracy",19,1985,"mapbiomas_collection70_integration_v2"
"Kappa18",0.579806669441746,"Kappa",19,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower18",0.661344470001446,"AccuracyLower",19,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper18",0.753215035000706,"AccuracyUpper",19,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull18",0.410126582278481,"AccuracyNull",19,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue18",3.27458094044017e-33,"AccuracyPValue",19,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue18",NA,"McnemarPValue",19,1985,"mapbiomas_collection70_integration_v2"
"Class: 319",0.848278184726783,"Class: 3",19,1985,"mapbiomas_collection70_integration_v2"
"Class: 418",0.731490298773956,"Class: 4",19,1985,"mapbiomas_collection70_integration_v2"
"Class: 1218",0.72307769726248,"Class: 12",19,1985,"mapbiomas_collection70_integration_v2"
"Class: 2118",0.841148730991363,"Class: 21",19,1985,"mapbiomas_collection70_integration_v2"
"Class: 2517",0.5,"Class: 25",19,1985,"mapbiomas_collection70_integration_v2"
"Class: 3316",0.665391156462585,"Class: 33",19,1985,"mapbiomas_collection70_integration_v2"
"Accuracy19",0.683098591549296,"Accuracy",20,1985,"mapbiomas_collection70_integration_v2"
"Kappa19",0.531343587654069,"Kappa",20,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower19",0.650676620132447,"AccuracyLower",20,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper19",0.714248043772192,"AccuracyUpper",20,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull19",0.469483568075117,"AccuracyNull",20,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue19",2.13131971090791e-36,"AccuracyPValue",20,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue19",NA,"McnemarPValue",20,1985,"mapbiomas_collection70_integration_v2"
"Class: 320",0.904840425531915,"Class: 3",20,1985,"mapbiomas_collection70_integration_v2"
"Class: 419",0.737422566371681,"Class: 4",20,1985,"mapbiomas_collection70_integration_v2"
"Class: 1219",0.690701219512195,"Class: 12",20,1985,"mapbiomas_collection70_integration_v2"
"Class: 2119",0.807999904507257,"Class: 21",20,1985,"mapbiomas_collection70_integration_v2"
"Class: 2518",0.5,"Class: 25",20,1985,"mapbiomas_collection70_integration_v2"
"Class: 3317",0.75,"Class: 33",20,1985,"mapbiomas_collection70_integration_v2"
"Accuracy20",0.858597285067873,"Accuracy",21,1985,"mapbiomas_collection70_integration_v2"
"Kappa20",0.693605363708456,"Kappa",21,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower20",0.833868047167309,"AccuracyLower",21,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper20",0.880906702641074,"AccuracyUpper",21,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull20",0.72737556561086,"AccuracyNull",21,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue20",6.32070755418207e-21,"AccuracyPValue",21,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue20",NA,"McnemarPValue",21,1985,"mapbiomas_collection70_integration_v2"
"Class: 321",0.914415524410904,"Class: 3",21,1985,"mapbiomas_collection70_integration_v2"
"Class: 420",0.749081573014945,"Class: 4",21,1985,"mapbiomas_collection70_integration_v2"
"Class: 1220",0.730214884696017,"Class: 12",21,1985,"mapbiomas_collection70_integration_v2"
"Class: 2120",0.901734607616012,"Class: 21",21,1985,"mapbiomas_collection70_integration_v2"
"Class: 2519",0.5,"Class: 25",21,1985,"mapbiomas_collection70_integration_v2"
"Class: 3318",0.9,"Class: 33",21,1985,"mapbiomas_collection70_integration_v2"
"Accuracy21",0.789617486338798,"Accuracy",22,1985,"mapbiomas_collection70_integration_v2"
"Kappa21",0.690106772522844,"Kappa",22,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower21",0.744228338033137,"AccuracyLower",22,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper21",0.830250066647122,"AccuracyUpper",22,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull21",0.448087431693989,"AccuracyNull",22,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue21",9.03733078278908e-41,"AccuracyPValue",22,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue21",NA,"McnemarPValue",22,1985,"mapbiomas_collection70_integration_v2"
"Class: 322",0.881539110106159,"Class: 3",22,1985,"mapbiomas_collection70_integration_v2"
"Class: 421",0.777598024607263,"Class: 4",22,1985,"mapbiomas_collection70_integration_v2"
"Class: 1221",0.758835128166237,"Class: 12",22,1985,"mapbiomas_collection70_integration_v2"
"Class: 2121",0.887406423569186,"Class: 21",22,1985,"mapbiomas_collection70_integration_v2"
"Class: 3319",0.833333333333333,"Class: 33",22,1985,"mapbiomas_collection70_integration_v2"
"Accuracy22",0.79739507959479,"Accuracy",23,1985,"mapbiomas_collection70_integration_v2"
"Kappa22",0.656386194354561,"Kappa",23,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower22",0.765460376422262,"AccuracyLower",23,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper22",0.826765141064351,"AccuracyUpper",23,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull22",0.609261939218524,"AccuracyNull",23,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue22",2.14584237523177e-26,"AccuracyPValue",23,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue22",NA,"McnemarPValue",23,1985,"mapbiomas_collection70_integration_v2"
"Class: 323",0.901987793003539,"Class: 3",23,1985,"mapbiomas_collection70_integration_v2"
"Class: 422",0.702164592944685,"Class: 4",23,1985,"mapbiomas_collection70_integration_v2"
"Class: 1222",0.631820474029249,"Class: 12",23,1985,"mapbiomas_collection70_integration_v2"
