"","value","variable","region","year","file"
"AccuracyUpper19",0.714248043772192,"AccuracyUpper",20,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull19",0.485915492957746,"AccuracyNull",20,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue19",2.26629808202626e-31,"AccuracyPValue",20,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue19",NA,"McnemarPValue",20,1985,"mapbiomas_collection60_integration_v1"
"Class: 320",0.888089958821666,"Class: 3",20,1985,"mapbiomas_collection60_integration_v1"
"Class: 419",0.724372973330686,"Class: 4",20,1985,"mapbiomas_collection60_integration_v1"
"Class: 1219",0.669727143411354,"Class: 12",20,1985,"mapbiomas_collection60_integration_v1"
"Class: 2119",0.842121131506606,"Class: 21",20,1985,"mapbiomas_collection60_integration_v1"
"Class: 2513",0.5,"Class: 25",20,1985,"mapbiomas_collection60_integration_v1"
"Class: 3317",1,"Class: 33",20,1985,"mapbiomas_collection60_integration_v1"
"Accuracy20",0.857466063348416,"Accuracy",21,1985,"mapbiomas_collection60_integration_v1"
"Kappa20",0.690063637906711,"Kappa",21,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower20",0.832664543216797,"AccuracyLower",21,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper20",0.879855642137953,"AccuracyUpper",21,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull20",0.728506787330317,"AccuracyNull",21,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue20",2.77671142120723e-20,"AccuracyPValue",21,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue20",NA,"McnemarPValue",21,1985,"mapbiomas_collection60_integration_v1"
"Class: 321",0.909419020253697,"Class: 3",21,1985,"mapbiomas_collection60_integration_v1"
"Class: 420",0.726368772470467,"Class: 4",21,1985,"mapbiomas_collection60_integration_v1"
"Class: 1220",0.743544600938967,"Class: 12",21,1985,"mapbiomas_collection60_integration_v1"
"Class: 2120",0.900802277432712,"Class: 21",21,1985,"mapbiomas_collection60_integration_v1"
"Class: 2514",0.5,"Class: 25",21,1985,"mapbiomas_collection60_integration_v1"
"Class: 3318",0.9,"Class: 33",21,1985,"mapbiomas_collection60_integration_v1"
"Accuracy21",0.699453551912568,"Accuracy",22,1985,"mapbiomas_collection60_integration_v1"
"Kappa21",0.555751724137931,"Kappa",22,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower21",0.649634520300388,"AccuracyLower",22,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper21",0.746011350490645,"AccuracyUpper",22,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull21",0.472677595628415,"AccuracyNull",22,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue21",1.42565969204105e-18,"AccuracyPValue",22,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue21",NA,"McnemarPValue",22,1985,"mapbiomas_collection60_integration_v1"
"Class: 322",0.783719454141542,"Class: 3",22,1985,"mapbiomas_collection60_integration_v1"
"Class: 421",0.685229700854701,"Class: 4",22,1985,"mapbiomas_collection60_integration_v1"
"Class: 1221",0.719219653179191,"Class: 12",22,1985,"mapbiomas_collection60_integration_v1"
"Class: 2121",0.85908532750307,"Class: 21",22,1985,"mapbiomas_collection60_integration_v1"
"Class: 3319",0.833333333333333,"Class: 33",22,1985,"mapbiomas_collection60_integration_v1"
"Accuracy22",0.732272069464544,"Accuracy",23,1985,"mapbiomas_collection60_integration_v1"
"Kappa22",0.545294481713607,"Kappa",23,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower22",0.697588484817343,"AccuracyLower",23,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper22",0.764958181226731,"AccuracyUpper",23,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull22",0.635311143270622,"AccuracyNull",23,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue22",3.83264735000398e-08,"AccuracyPValue",23,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue22",NA,"McnemarPValue",23,1985,"mapbiomas_collection60_integration_v1"
"Class: 323",0.845742128935532,"Class: 3",23,1985,"mapbiomas_collection60_integration_v1"
"Class: 422",0.597368964449186,"Class: 4",23,1985,"mapbiomas_collection60_integration_v1"
"Class: 1222",0.652342394447658,"Class: 12",23,1985,"mapbiomas_collection60_integration_v1"
"Class: 2122",0.875705065625339,"Class: 21",23,1985,"mapbiomas_collection60_integration_v1"
"Class: 3320",0.958333333333333,"Class: 33",23,1985,"mapbiomas_collection60_integration_v1"
"Accuracy23",0.699825479930192,"Accuracy",24,1985,"mapbiomas_collection60_integration_v1"
"Kappa23",0.575778445433493,"Kappa",24,1985,"mapbiomas_collection60_integration_v1"
