"","Prediction","Reference","Freq","region","year","file"
"227","4","25",0,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"228","12","25",0,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"229","21","25",1,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"230","25","25",0,7,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"231","3","3",76,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"232","4","3",24,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"233","12","3",0,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"234","21","3",0,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"235","25","3",0,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"236","33","3",0,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"237","3","4",31,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"238","4","4",271,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"239","12","4",51,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"240","21","4",26,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"241","25","4",0,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"242","33","4",0,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"243","3","12",3,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"244","4","12",68,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"245","12","12",101,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"246","21","12",16,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"247","25","12",0,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"248","33","12",0,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"249","3","21",4,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"250","4","21",11,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"251","12","21",5,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"252","21","21",16,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"253","25","21",0,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"254","33","21",0,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"255","3","25",0,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"256","4","25",0,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"257","12","25",0,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"258","21","25",1,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"259","25","25",0,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"260","33","25",0,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"261","3","33",0,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"262","4","33",0,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"263","12","33",0,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"264","21","33",0,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"265","25","33",0,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"266","33","33",1,8,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"267","3","3",222,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"268","4","3",15,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"269","12","3",1,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"270","21","3",4,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"271","25","3",0,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"272","33","3",2,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"273","3","4",70,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"274","4","4",151,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"275","12","4",56,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"276","21","4",21,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"277","25","4",0,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"278","33","4",0,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"279","3","12",6,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"280","4","12",21,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"281","12","12",300,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"282","21","12",9,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"283","25","12",0,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"284","33","12",3,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"285","3","21",9,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"286","4","21",10,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"287","12","21",18,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"288","21","21",72,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"289","25","21",0,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"290","33","21",0,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"291","3","25",0,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"292","4","25",0,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"293","12","25",1,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"294","21","25",9,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"295","25","25",0,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"296","33","25",0,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"297","3","33",1,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"298","4","33",0,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"299","12","33",1,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"300","21","33",0,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"301","25","33",0,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"302","33","33",12,9,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"303","3","3",235,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"304","4","3",17,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"305","12","3",0,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"306","21","3",7,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"307","25","3",0,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"308","33","3",1,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"309","3","4",162,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"310","4","4",284,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"311","12","4",32,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"312","21","4",93,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"313","25","4",0,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"314","33","4",1,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"315","3","12",5,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"316","4","12",9,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"317","12","12",26,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"318","21","12",26,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"319","25","12",0,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"320","33","12",2,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"321","3","21",51,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"322","4","21",55,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"323","12","21",22,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"324","21","21",376,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"325","25","21",0,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"326","33","21",0,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"327","3","25",0,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"328","4","25",0,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"329","12","25",0,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"330","21","25",14,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"331","25","25",0,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"332","33","25",0,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"333","3","33",1,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"334","4","33",0,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"335","12","33",1,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"336","21","33",0,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"337","25","33",0,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"338","33","33",11,10,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
